Id,DATE,IPG2211A2N
1,1985-01-01,72.5052
2,1985-01-02,70.672
3,1985-01-03,62.4502
4,1985-01-04,57.4714
5,1985-01-05,55.3151
6,1985-01-06,58.0904
7,1985-01-07,62.6202
8,1985-01-08,63.2485
9,1985-01-09,60.5846
10,1985-01-10,56.3154
11,1985-01-11,58.0005
12,1985-01-12,68.7145
13,1986-01-01,73.3057
14,1986-01-02,67.9869
15,1986-01-03,62.2221
16,1986-01-04,57.0329
17,1986-01-05,55.8137
18,1986-01-06,59.9005
19,1986-01-07,65.7655
20,1986-01-08,64.4816
21,1986-01-09,61.0005
22,1986-01-10,57.5322
23,1986-01-11,59.3417
24,1986-01-12,68.1354
25,1987-01-01,73.8152
26,1987-01-02,70.062
27,1987-01-03,65.61
28,1987-01-04,60.1586
29,1987-01-05,58.8734
30,1987-01-06,63.8918
31,1987-01-07,68.8694
32,1987-01-08,70.0669
33,1987-01-09,64.1151
34,1987-01-10,60.3789
35,1987-01-11,62.4643
36,1987-01-12,70.5777
37,1988-01-01,79.8703
38,1988-01-02,76.1622
39,1988-01-03,70.2928
40,1988-01-04,63.2384
41,1988-01-05,61.4065
42,1988-01-06,67.1097
43,1988-01-07,72.9816
44,1988-01-08,75.7655
45,1988-01-09,67.5152
46,1988-01-10,63.2832
47,1988-01-11,65.1078
48,1988-01-12,73.8631
49,1989-01-01,77.9188
50,1989-01-02,76.6822
51,1989-01-03,73.3523
52,1989-01-04,65.1081
53,1989-01-05,63.6892
54,1989-01-06,68.4722
55,1989-01-07,74.0301
56,1989-01-08,75.0448
57,1989-01-09,69.3053
58,1989-01-10,65.8735
59,1989-01-11,69.0706
60,1989-01-12,84.1949
61,1990-01-01,84.3598
62,1990-01-02,77.1726
63,1990-01-03,73.1964
64,1990-01-04,67.2781
65,1990-01-05,65.8218
66,1990-01-06,71.4654
67,1990-01-07,76.614
68,1990-01-08,77.1052
69,1990-01-09,73.061
70,1990-01-10,67.4365
71,1990-01-11,68.5665
72,1990-01-12,77.6839
73,1991-01-01,86.0214
74,1991-01-02,77.5573
75,1991-01-03,73.365
76,1991-01-04,67.15
77,1991-01-05,68.8162
78,1991-01-06,74.8448
79,1991-01-07,80.0928
80,1991-01-08,79.1606
81,1991-01-09,73.5743
82,1991-01-10,68.7538
83,1991-01-11,72.5166
84,1991-01-12,79.4894
85,1992-01-01,85.2855
86,1992-01-02,80.1643
87,1992-01-03,74.5275
88,1992-01-04,69.6441
89,1992-01-05,67.1784
90,1992-01-06,71.2078
91,1992-01-07,77.5081
92,1992-01-08,76.5374
93,1992-01-09,72.3541
94,1992-01-10,69.0286
95,1992-01-11,73.4992
96,1992-01-12,84.5159
97,1993-01-01,87.9464
98,1993-01-02,84.5561
99,1993-01-03,79.4747
100,1993-01-04,71.0578
1,1993-01-05,67.6762
2,1993-01-06,74.3297
3,1993-01-07,82.1048
4,1993-01-08,82.0605
5,1993-01-09,74.6031
6,1993-01-10,69.681
7,1993-01-11,74.4292
8,1993-01-12,84.2284
9,1994-01-01,94.1386
10,1994-01-02,87.1607
11,1994-01-03,79.2456
12,1994-01-04,70.9749
13,1994-01-05,69.3844
14,1994-01-06,77.9831
15,1994-01-07,83.277
16,1994-01-08,81.8872
17,1994-01-09,75.6826
18,1994-01-10,71.2661
19,1994-01-11,75.2458
20,1994-01-12,84.8147
21,1995-01-01,92.4532
22,1995-01-02,87.4033
23,1995-01-03,81.2661
24,1995-01-04,73.8167
25,1995-01-05,73.2682
26,1995-01-06,78.3026
27,1995-01-07,85.9841
28,1995-01-08,89.5467
29,1995-01-09,78.5035
30,1995-01-10,73.7066
31,1995-01-11,79.6543
32,1995-01-12,90.8251
33,1996-01-01,98.9732
34,1996-01-02,92.8883
35,1996-01-03,86.9356
36,1996-01-04,77.2214
37,1996-01-05,76.6826
38,1996-01-06,81.9306
39,1996-01-07,85.9606
40,1996-01-08,86.5562
41,1996-01-09,79.1919
42,1996-01-10,74.6891
43,1996-01-11,81.074
44,1996-01-12,90.4855
45,1997-01-01,98.4613
46,1997-01-02,89.7795
47,1997-01-03,83.0125
48,1997-01-04,76.1476
49,1997-01-05,73.8471
50,1997-01-06,79.7645
51,1997-01-07,88.4519
52,1997-01-08,87.7828
53,1997-01-09,81.9386
54,1997-01-10,77.5027
55,1997-01-11,82.0448
56,1997-01-12,92.101
57,1998-01-01,94.792
58,1998-01-02,87.82
59,1998-01-03,86.5549
60,1998-01-04,76.7521
61,1998-01-05,78.0303
62,1998-01-06,86.4579
63,1998-01-07,93.8379
64,1998-01-08,93.531
65,1998-01-09,87.5414
66,1998-01-10,80.0924
67,1998-01-11,81.4349
68,1998-01-12,91.6841
69,1999-01-01,102.1348
70,1999-01-02,91.1829
71,1999-01-03,90.7381
72,1999-01-04,80.5176
73,1999-01-05,79.3887
74,1999-01-06,87.8431
75,1999-01-07,97.4903
76,1999-01-08,96.4157
77,1999-01-09,87.2248
78,1999-01-10,80.6409
79,1999-01-11,82.2025
80,1999-01-12,94.5113
81,2000-01-01,102.2301
82,2000-01-02,94.2989
83,2000-01-03,88.0927
84,2000-01-04,81.4425
85,2000-01-05,84.4552
86,2000-01-06,91.0406
87,2000-01-07,95.9957
88,2000-01-08,99.3704
89,2000-01-09,90.9178
90,2000-01-10,83.1408
91,2000-01-11,88.041
92,2000-01-12,102.4558
93,2001-01-01,109.1081
94,2001-01-02,97.1717
95,2001-01-03,92.8283
96,2001-01-04,82.915
97,2001-01-05,82.5465
98,2001-01-06,90.3955
99,2001-01-07,96.074
100,2001-01-08,99.5534
1,2001-01-09,88.281
2,2001-01-10,82.686
3,2001-01-11,82.9319
4,2001-01-12,93.0381
5,2002-01-01,102.9955
6,2002-01-02,95.2075
7,2002-01-03,93.2556
8,2002-01-04,85.795
9,2002-01-05,85.2351
10,2002-01-06,93.1896
11,2002-01-07,102.393
12,2002-01-08,101.6293
13,2002-01-09,93.3089
14,2002-01-10,86.9002
15,2002-01-11,88.5749
16,2002-01-12,100.8003
17,2003-01-01,110.1807
18,2003-01-02,103.8413
19,2003-01-03,94.5532
20,2003-01-04,85.062
21,2003-01-05,85.4653
22,2003-01-06,91.0761
23,2003-01-07,102.22
24,2003-01-08,104.4682
25,2003-01-09,92.9135
26,2003-01-10,86.5047
27,2003-01-11,88.5735
28,2003-01-12,103.5428
29,2004-01-01,113.7226
30,2004-01-02,106.159
31,2004-01-03,95.4029
32,2004-01-04,86.7233
33,2004-01-05,89.0302
34,2004-01-06,95.5045
35,2004-01-07,101.7948
36,2004-01-08,100.2025
37,2004-01-09,94.024
38,2004-01-10,87.5262
39,2004-01-11,89.6144
40,2004-01-12,105.7263
41,2005-01-01,111.1614
42,2005-01-02,101.7795
43,2005-01-03,98.9565
44,2005-01-04,86.4776
45,2005-01-05,87.2234
46,2005-01-06,99.5076
47,2005-01-07,108.3501
48,2005-01-08,109.4862
49,2005-01-09,99.1155
50,2005-01-10,89.7567
51,2005-01-11,90.4587
52,2005-01-12,108.2257
53,2006-01-01,104.4724
54,2006-01-02,101.5196
55,2006-01-03,98.4017
56,2006-01-04,87.5093
57,2006-01-05,90.0222
58,2006-01-06,100.5244
59,2006-01-07,110.9503
60,2006-01-08,111.5192
61,2006-01-09,95.7632
62,2006-01-10,90.3738
63,2006-01-11,92.3566
64,2006-01-12,103.066
65,2007-01-01,112.0576
66,2007-01-02,111.8399
67,2007-01-03,99.1925
68,2007-01-04,90.8177
69,2007-01-05,92.0587
70,2007-01-06,100.9676
71,2007-01-07,107.5686
72,2007-01-08,114.1036
73,2007-01-09,101.5316
74,2007-01-10,93.0068
75,2007-01-11,93.9126
76,2007-01-12,106.7528
77,2008-01-01,114.8331
78,2008-01-02,108.2353
79,2008-01-03,100.4386
80,2008-01-04,90.9944
81,2008-01-05,91.2348
82,2008-01-06,103.9581
83,2008-01-07,110.7631
84,2008-01-08,107.5665
85,2008-01-09,97.7183
86,2008-01-10,90.9979
87,2008-01-11,93.8057
88,2008-01-12,109.4221
89,2009-01-01,116.8316
90,2009-01-02,104.4202
91,2009-01-03,97.8529
92,2009-01-04,88.1973
93,2009-01-05,87.5366
94,2009-01-06,97.2387
95,2009-01-07,103.9086
96,2009-01-08,105.7486
97,2009-01-09,94.8823
98,2009-01-10,89.2977
99,2009-01-11,89.3585
100,2009-01-12,110.6844
1,2010-01-01,119.0166
2,2010-01-02,110.533
3,2010-01-03,98.2672
4,2010-01-04,86.3
5,2010-01-05,90.8364
6,2010-01-06,104.3538
7,2010-01-07,112.8066
8,2010-01-08,112.9014
9,2010-01-09,100.1209
10,2010-01-10,88.9251
11,2010-01-11,92.775
12,2010-01-12,114.3266
13,2011-01-01,119.488
14,2011-01-02,107.3753
15,2011-01-03,99.1028
16,2011-01-04,89.3583
17,2011-01-05,90.0698
18,2011-01-06,102.8204
19,2011-01-07,114.7068
20,2011-01-08,113.5958
21,2011-01-09,99.4712
22,2011-01-10,90.3566
23,2011-01-11,93.8095
24,2011-01-12,107.3312
25,2012-01-01,111.9646
26,2012-01-02,103.3679
27,2012-01-03,93.5772
28,2012-01-04,87.5566
29,2012-01-05,92.7603
30,2012-01-06,101.14
31,2012-01-07,113.0357
32,2012-01-08,109.8601
33,2012-01-09,96.7431
34,2012-01-10,90.3805
35,2012-01-11,94.3417
36,2012-01-12,105.2722
37,2013-01-01,115.501
38,2013-01-02,106.734
39,2013-01-03,102.9948
40,2013-01-04,91.0092
41,2013-01-05,90.9634
42,2013-01-06,100.6957
43,2013-01-07,110.148
44,2013-01-08,108.1756
45,2013-01-09,99.2809
46,2013-01-10,91.7871
47,2013-01-11,97.2853
48,2013-01-12,113.4732
49,2014-01-01,124.2549
50,2014-01-02,112.8811
51,2014-01-03,104.7631
52,2014-01-04,90.2867
53,2014-01-05,92.134
54,2014-01-06,101.878
55,2014-01-07,108.5497
56,2014-01-08,108.194
57,2014-01-09,100.4172
58,2014-01-10,92.3837
59,2014-01-11,99.7033
60,2014-01-12,109.3477
61,2015-01-01,120.2696
62,2015-01-02,116.3788
63,2015-01-03,104.4706
64,2015-01-04,89.7461
65,2015-01-05,91.093
66,2015-01-06,102.6495
67,2015-01-07,111.6354
68,2015-01-08,110.5925
69,2015-01-09,101.9204
70,2015-01-10,91.5959
71,2015-01-11,93.0628
72,2015-01-12,103.2203
73,2016-01-01,117.0837
74,2016-01-02,106.6688
75,2016-01-03,95.3548
76,2016-01-04,89.3254
77,2016-01-05,90.7369
78,2016-01-06,104.0375
79,2016-01-07,114.5397
80,2016-01-08,115.5159
81,2016-01-09,102.7637
82,2016-01-10,91.4867
83,2016-01-11,92.89
84,2016-01-12,112.7694
85,2017-01-01,114.8505
86,2017-01-02,99.4901
87,2017-01-03,101.0396
88,2017-01-04,88.353
89,2017-01-05,92.0805
90,2017-01-06,102.1532
91,2017-01-07,112.1538
92,2017-01-08,108.9312
93,2017-01-09,98.6154
94,2017-01-10,93.6137
95,2017-01-11,97.3359
96,2017-01-12,114.7212
97,2018-01-01,129.4048
