Id,Month,Monthly_beer_production
1,1956-01,93.2
2,1956-02,96
3,1956-03,95.2
4,1956-04,77.1
5,1956-05,70.9
6,1956-06,64.8
7,1956-07,70.1
8,1956-08,77.3
9,1956-09,79.5
10,1956-10,100.6
11,1956-11,100.7
12,1956-12,107.1
13,1957-01,95.9
14,1957-02,82.8
15,1957-03,83.3
16,1957-04,80
17,1957-05,80.4
18,1957-06,67.5
19,1957-07,75.7
20,1957-08,71.1
21,1957-09,89.3
22,1957-10,101.1
23,1957-11,105.2
24,1957-12,114.1
25,1958-01,96.3
26,1958-02,84.4
27,1958-03,91.2
28,1958-04,81.9
29,1958-05,80.5
30,1958-06,70.4
31,1958-07,74.8
32,1958-08,75.9
33,1958-09,86.3
34,1958-10,98.7
35,1958-11,100.9
36,1958-12,113.8
37,1959-01,89.8
38,1959-02,84.4
39,1959-03,87.2
40,1959-04,85.6
41,1959-05,72
42,1959-06,69.2
43,1959-07,77.5
44,1959-08,78.1
45,1959-09,94.3
46,1959-10,97.7
47,1959-11,100.2
48,1959-12,116.4
49,1960-01,97.1
50,1960-02,93
51,1960-03,96
52,1960-04,80.5
53,1960-05,76.1
54,1960-06,69.9
55,1960-07,73.6
56,1960-08,92.6
57,1960-09,94.2
58,1960-10,93.5
59,1960-11,108.5
60,1960-12,109.4
61,1961-01,105.1
62,1961-02,92.5
63,1961-03,97.1
64,1961-04,81.4
65,1961-05,79.1
66,1961-06,72.1
67,1961-07,78.7
68,1961-08,87.1
69,1961-09,91.4
70,1961-10,109.9
71,1961-11,116.3
72,1961-12,113
73,1962-01,100
74,1962-02,84.8
75,1962-03,94.3
76,1962-04,87.1
77,1962-05,90.3
78,1962-06,72.4
79,1962-07,84.9
80,1962-08,92.7
81,1962-09,92.2
82,1962-10,114.9
83,1962-11,112.5
84,1962-12,118.3
85,1963-01,106
86,1963-02,91.2
87,1963-03,96.6
88,1963-04,96.3
89,1963-05,88.2
90,1963-06,70.2
91,1963-07,86.5
92,1963-08,88.2
93,1963-09,102.8
94,1963-10,119.1
95,1963-11,119.2
96,1963-12,125.1
97,1964-01,106.1
98,1964-02,102.1
99,1964-03,105.2
100,1964-04,101
1,1964-05,84.3
2,1964-06,87.5
3,1964-07,92.7
4,1964-08,94.4
5,1964-09,113
6,1964-10,113.9
7,1964-11,122.9
8,1964-12,132.7
9,1965-01,106.9
10,1965-02,96.6
11,1965-03,127.3
12,1965-04,98.2
13,1965-05,100.2
14,1965-06,89.4
15,1965-07,95.3
16,1965-08,104.2
17,1965-09,106.4
18,1965-10,116.2
19,1965-11,135.9
20,1965-12,134
21,1966-01,104.6
22,1966-02,107.1
23,1966-03,123.5
24,1966-04,98.8
25,1966-05,98.6
26,1966-06,90.6
27,1966-07,89.1
28,1966-08,105.2
29,1966-09,114
30,1966-10,122.1
31,1966-11,138
32,1966-12,142.2
33,1967-01,116.4
34,1967-02,112.6
35,1967-03,123.8
36,1967-04,103.6
37,1967-05,113.9
38,1967-06,98.6
39,1967-07,95
40,1967-08,116
41,1967-09,113.9
42,1967-10,127.5
43,1967-11,131.4
44,1967-12,145.9
45,1968-01,131.5
46,1968-02,131
47,1968-03,130.5
48,1968-04,118.9
49,1968-05,114.3
50,1968-06,85.7
51,1968-07,104.6
52,1968-08,105.1
53,1968-09,117.3
54,1968-10,142.5
55,1968-11,140
56,1968-12,159.8
57,1969-01,131.2
58,1969-02,125.4
59,1969-03,126.5
60,1969-04,119.4
61,1969-05,113.5
62,1969-06,98.7
63,1969-07,114.5
64,1969-08,113.8
65,1969-09,133.1
66,1969-10,143.4
67,1969-11,137.3
68,1969-12,165.2
69,1970-01,126.9
70,1970-02,124
71,1970-03,135.7
72,1970-04,130
73,1970-05,109.4
74,1970-06,117.8
75,1970-07,120.3
76,1970-08,121
77,1970-09,132.3
78,1970-10,142.9
79,1970-11,147.4
80,1970-12,175.9
81,1971-01,132.6
82,1971-02,123.7
83,1971-03,153.3
84,1971-04,134
85,1971-05,119.6
86,1971-06,116.2
87,1971-07,118.6
88,1971-08,130.7
89,1971-09,129.3
90,1971-10,144.4
91,1971-11,163.2
92,1971-12,179.4
93,1972-01,128.1
94,1972-02,138.4
95,1972-03,152.7
96,1972-04,120
97,1972-05,140.5
98,1972-06,116.2
99,1972-07,121.4
100,1972-08,127.8
1,1972-09,143.6
2,1972-10,157.6
3,1972-11,166.2
4,1972-12,182.3
5,1973-01,153.1
6,1973-02,147.6
7,1973-03,157.7
8,1973-04,137.2
9,1973-05,151.5
10,1973-06,98.7
11,1973-07,145.8
12,1973-08,151.7
13,1973-09,129.4
14,1973-10,174.1
15,1973-11,197
16,1973-12,193.9
17,1974-01,164.1
18,1974-02,142.8
19,1974-03,157.9
20,1974-04,159.2
21,1974-05,162.2
22,1974-06,123.1
23,1974-07,130
24,1974-08,150.1
25,1974-09,169.4
26,1974-10,179.7
27,1974-11,182.1
28,1974-12,194.3
29,1975-01,161.4
30,1975-02,169.4
31,1975-03,168.8
32,1975-04,158.1
33,1975-05,158.5
34,1975-06,135.3
35,1975-07,149.3
36,1975-08,143.4
37,1975-09,142.2
38,1975-10,188.4
39,1975-11,166.2
40,1975-12,199.2
41,1976-01,182.7
42,1976-02,145.2
43,1976-03,182.1
44,1976-04,158.7
45,1976-05,141.6
46,1976-06,132.6
47,1976-07,139.6
48,1976-08,147
49,1976-09,166.6
50,1976-10,157
51,1976-11,180.4
52,1976-12,210.2
53,1977-01,159.8
54,1977-02,157.8
55,1977-03,168.2
56,1977-04,158.4
57,1977-05,152
58,1977-06,142.2
59,1977-07,137.2
60,1977-08,152.6
61,1977-09,166.8
62,1977-10,165.6
63,1977-11,198.6
64,1977-12,201.5
65,1978-01,170.7
66,1978-02,164.4
67,1978-03,179.7
68,1978-04,157
69,1978-05,168
70,1978-06,139.3
71,1978-07,138.6
72,1978-08,153.4
73,1978-09,138.9
74,1978-10,172.1
75,1978-11,198.4
76,1978-12,217.8
77,1979-01,173.7
78,1979-02,153.8
79,1979-03,175.6
80,1979-04,147.1
81,1979-05,160.3
82,1979-06,135.2
83,1979-07,148.8
84,1979-08,151
85,1979-09,148.2
86,1979-10,182.2
87,1979-11,189.2
88,1979-12,183.1
89,1980-01,170
90,1980-02,158.4
91,1980-03,176.1
92,1980-04,156.2
93,1980-05,153.2
94,1980-06,117.9
95,1980-07,149.8
96,1980-08,156.6
97,1980-09,166.7
98,1980-10,156.8
99,1980-11,158.6
100,1980-12,210.8
1,1981-01,203.6
2,1981-02,175.2
3,1981-03,168.7
4,1981-04,155.9
5,1981-05,147.3
6,1981-06,137
7,1981-07,141.1
8,1981-08,167.4
9,1981-09,160.2
10,1981-10,191.9
11,1981-11,174.4
12,1981-12,208.2
13,1982-01,159.4
14,1982-02,161.1
15,1982-03,172.1
16,1982-04,158.4
17,1982-05,114.6
18,1982-06,159.6
19,1982-07,159.7
20,1982-08,159.4
21,1982-09,160.7
22,1982-10,165.5
23,1982-11,205
24,1982-12,205.2
25,1983-01,141.6
26,1983-02,148.1
27,1983-03,184.9
28,1983-04,132.5
29,1983-05,137.3
30,1983-06,135.5
31,1983-07,121.7
32,1983-08,166.1
33,1983-09,146.8
34,1983-10,162.8
35,1983-11,186.8
36,1983-12,185.5
37,1984-01,151.5
38,1984-02,158.1
39,1984-03,143
40,1984-04,151.2
41,1984-05,147.6
42,1984-06,130.7
43,1984-07,137.5
44,1984-08,146.1
45,1984-09,133.6
46,1984-10,167.9
47,1984-11,181.9
48,1984-12,202
49,1985-01,166.5
50,1985-02,151.3
51,1985-03,146.2
52,1985-04,148.3
53,1985-05,144.7
54,1985-06,123.6
55,1985-07,151.6
56,1985-08,133.9
57,1985-09,137.4
58,1985-10,181.6
59,1985-11,182
60,1985-12,190
61,1986-01,161.2
62,1986-02,155.5
63,1986-03,141.9
64,1986-04,164.6
65,1986-05,136.2
66,1986-06,126.8
67,1986-07,152.5
68,1986-08,126.6
69,1986-09,150.1
70,1986-10,186.3
71,1986-11,147.5
72,1986-12,200.4
73,1987-01,177.2
74,1987-02,127.4
75,1987-03,177.1
76,1987-04,154.4
77,1987-05,135.2
78,1987-06,126.4
79,1987-07,147.3
80,1987-08,140.6
81,1987-09,152.3
82,1987-10,151.2
83,1987-11,172.2
84,1987-12,215.3
85,1988-01,154.1
86,1988-02,159.3
87,1988-03,160.4
88,1988-04,151.9
89,1988-05,148.4
90,1988-06,139.6
91,1988-07,148.2
92,1988-08,153.5
93,1988-09,145.1
94,1988-10,183.7
95,1988-11,210.5
96,1988-12,203.3
97,1989-01,153.3
98,1989-02,144.3
99,1989-03,169.6
100,1989-04,143.7
1,1989-05,160.1
2,1989-06,135.6
3,1989-07,141.8
4,1989-08,159.9
5,1989-09,145.7
6,1989-10,183.5
7,1989-11,198.2
8,1989-12,186.8
9,1990-01,172
10,1990-02,150.6
11,1990-03,163.3
12,1990-04,153.7
13,1990-05,152.9
14,1990-06,135.5
15,1990-07,148.5
16,1990-08,148.4
17,1990-09,133.6
18,1990-10,194.1
19,1990-11,208.6
20,1990-12,197.3
21,1991-01,164.4
22,1991-02,148.1
23,1991-03,152
24,1991-04,144.1
25,1991-05,155
26,1991-06,124.5
27,1991-07,153
28,1991-08,146
29,1991-09,138
30,1991-10,190
31,1991-11,192
32,1991-12,192
33,1992-01,147
34,1992-02,133
35,1992-03,163
36,1992-04,150
37,1992-05,129
38,1992-06,131
39,1992-07,145
40,1992-08,137
41,1992-09,138
42,1992-10,168
43,1992-11,176
44,1992-12,188
45,1993-01,139
46,1993-02,143
47,1993-03,150
48,1993-04,154
49,1993-05,137
50,1993-06,129
51,1993-07,128
52,1993-08,140
53,1993-09,143
54,1993-10,151
55,1993-11,177
56,1993-12,184
57,1994-01,151
58,1994-02,134
59,1994-03,164
60,1994-04,126
61,1994-05,131
62,1994-06,125
63,1994-07,127
64,1994-08,143
65,1994-09,143
66,1994-10,160
67,1994-11,190
68,1994-12,182
69,1995-01,138
70,1995-02,136
71,1995-03,152
72,1995-04,127
73,1995-05,151
74,1995-06,130
75,1995-07,119
76,1995-08,153
